															
		Database													
198	154	Meganium	GRASS		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_154_00.png	178
199	155	Cyndaquil	FIRE		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_155_00.png	179
200	156	Quilava	FIRE		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_156_00.png	180
201	157	Typhlosion	FIRE		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_157_00.png	181
202	158	Totodile	WATER		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_158_00.png	182
203	159	Croconaw	WATER		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_159_00.png	183
204	160	Feraligatr	WATER		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_160_00.png	184
205	161	Sentret	NORMAL		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_161_00.png	185
206	162	Furret	NORMAL		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_162_00.png	186
207	163	Hoothoot	NORMAL	FLYING	JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_163_00.png	187
208	164	Noctowl	NORMAL	FLYING	JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_164_00.png	188
209	165	Ledyba	BUG	FLYING	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_165_00.png	189
210	166	Ledian	BUG	FLYING	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_166_00.png	190
211	167	Spinarak	BUG	POISON	JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_167_00.png	191
212	168	Ariados	BUG	POISON	JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_168_00.png	192
213	169	Crobat	POISON	FLYING	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_169_00.png	193
214	170	Chinchou	WATER	ELECTRIC	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_170_00.png	194
215	171	Lanturn	WATER	ELECTRIC	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_171_00.png	195
216	172	Pichu	ELECTRIC		JOHTO	COSTUME	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_172_00.png	196
217	173	Cleffa	FAIRY		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_173_00.png	197
218	174	Igglybuff	NORMAL	FAIRY	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_174_00.png	198
219	175	Togepi	FAIRY		JOHTO	COSTUME	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_175_00.png	199
220	176	Togetic	FAIRY	FLYING	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_176_00.png	200
221	177	Natu	PSYCHIC	FLYING	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_177_00.png	201
222	178	Xatu	PSYCHIC	FLYING	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_178_00.png	202
223	179	Mareep	ELECTRIC		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_179_00.png	203
224	180	Flaaffy	ELECTRIC		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_180_00.png	204
225	181	Ampharos	ELECTRIC		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_181_00.png	205
226	181	Ampharos: (Mega Ampharos)	ELECTRIC	DRAGON	JOHTO	MEGA	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	BOTH		10000
227	182	Bellossom	GRASS		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_182_00.png	206
228	183	Marill	WATER	FAIRY	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_183_00.png	207
229	184	Azumarill	WATER	FAIRY	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_184_00.png	208
230	185	Sudowoodo	ROCK		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_185_00.png	209
231	186	Politoed	WATER		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_186_00.png	210
232	187	Hoppip	GRASS	FLYING	JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_187_00.png	211
233	188	Skiploom	GRASS	FLYING	JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_188_00.png	212
234	189	Jumpluff	GRASS	FLYING	JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_189_00.png	213
235	190	Aipom	NORMAL		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_190_00.png	214
236	191	Sunkern	GRASS		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_191_00.png	215
237	192	Sunflora	GRASS		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_192_00.png	216
238	193	Yanma	BUG	FLYING	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_193_00.png	217
239	194	Wooper	WATER	GROUND	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_194_00.png	218
240	195	Quagsire	WATER	GROUND	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_195_00.png	219
241	196	Espeon	PSYCHIC		JOHTO	COSTUME	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_196_00.png	220
242	197	Umbreon	DARK		JOHTO	COSTUME	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_197_00.png	221
243	198	Murkrow	DARK	FLYING	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_198_00.png	222
244	199	Slowking	PSYCHIC	WATER	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_199_00.png	223
245	199	Slowking: (Galarian)	PSYCHIC	POISON	JOHTO	GALAR	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://serebii.net/pokemongo/pokemon/199-g.png	10000
246	200	Misdreavus	GHOST		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_200_00.png	224
247	201	Unown	PSYCHIC		JOHTO	UNOWN LETTER	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	GENDERLESS	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_201_16.png	225
248	202	Wobbuffet	PSYCHIC		JOHTO	COSTUME	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_202_00.png	226
249	203	Girafarig	NORMAL	PSYCHIC	JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_203_00.png	227
250	204	Pineco	BUG		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_204_00.png	228
251	205	Forretress	BUG	STEEL	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_205_00.png	229
252	206	Dunsparce	NORMAL		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_206_00.png	230
253	207	Gligar	GROUND	FLYING	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_207_00.png	231
254	208	Steelix	STEEL	GROUND	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_208_00.png	232
255	208	Steelix: (Mega Steelix)	STEEL	GROUND	JOHTO	MEGA	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	BOTH		10000
256	209	Snubbull	FAIRY		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_209_00.png	233
257	210	Granbull	FAIRY		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_210_00.png	234
258	211	Qwilfish	WATER	POISON	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_211_00.png	235
259	212	Scizor	BUG	STEEL	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_212_00.png	236
260	212	Scizor: (Mega Scizor)	BUG	STEEL	JOHTO	MEGA	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	BOTH		10000
261	213	Shuckle	BUG	ROCK	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_213_00.png	237
262	214	Heracross	BUG	FIGHTING	JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_214_00.png	238
263	214	Heracross: (Mega Heracross)	BUG	FIGHTING	JOHTO	MEGA	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	BOTH		10000
264	215	Sneasel	DARK	ICE	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_215_00.png	239
265	216	Teddiursa	NORMAL		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_216_00.png	240
266	217	Ursaring	NORMAL		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_217_00.png	241
267	218	Slugma	FIRE		JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_218_00.png	242
268	219	Magcargo	FIRE	ROCK	JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_219_00.png	243
269	220	Swinub	ICE	GROUND	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_220_00.png	244
270	221	Piloswine	ICE	GROUND	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_221_00.png	245
271	222	Corsola	WATER	ROCK	JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_222_00.png	246
272	222	Corsola: (Galarian)	GHOST		JOHTO	GALAR	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_222_31.png	10000
273	223	Remoraid	WATER		JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_223_00.png	247
274	224	Octillery	WATER		JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_224_00.png	248
275	225	Delibird	ICE	FLYING	JOHTO	COSTUME	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_225_00.png	249
276	226	Mantine	WATER	FLYING	JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_226_00.png	250
277	227	Skarmory	STEEL	FLYING	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_227_00.png	251
278	228	Houndour	DARK	FIRE	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_228_00.png	252
279	229	Houndoom	DARK	FIRE	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_229_00.png	253
280	229	Houndoom: (Mega Houndoom)	DARK	FIRE	JOHTO	MEGA	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	BOTH		10000
281	230	Kingdra	WATER	DRAGON	JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_230_00.png	254
282	231	Phanpy	GROUND		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_231_00.png	255
283	232	Donphan	GROUND		JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_232_00.png	256
284	233	Porygon2	NORMAL		JOHTO		TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	GENDERLESS	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_233_00.png	257
285	234	Stantler	NORMAL		JOHTO	COSTUME	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_234_00.png	258
286	235	Smeargle	NORMAL		JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_235_00.png	259
287	236	Tyrogue	FIGHTING		JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_236_00.png	260
288	237	Hitmontop	FIGHTING		JOHTO		TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	MALE ONLY	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_237_00.png	261
289	238	Smoochum	ICE	PSYCHIC	JOHTO	COSTUME	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_238_00.png	262
290	239	Elekid	ELECTRIC		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_239_00.png	263
291	240	Magby	FIRE		JOHTO		TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	BOTH	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_240_00.png	264
292	241	Miltank	NORMAL		JOHTO		TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FEMALE ONLY	https://images.weserv.nl/?dpr=1.5&w=200&il&url=https://raw.githubusercontent.com/PokeMiners/pogo_assets/master/Images/Pokemon%20-%20256x256/pokemon_icon_241_00.png	265
